a_cap (au/day^2),a_cap (m/s^2),Mdot (kg/s),v_ej (m/s),M_min_point (kg),M_min_point (g),M_min_1sigma_lo (g),M_min_1sigma_hi (g),M_min_95pct_lo (g),M_min_95pct_hi (g),D_at_rho=0.3gcm3_point_km,D_at_rho=0.5gcm3_point_km,D_at_rho=1.0gcm3_point_km
1e-10,2.004000968524949e-09,150.0,440.0,32934115819604.37,3.2934115819604372e+16,2.4866937930828956e+16,4.1001293708379784e+16,1.7122447157604564e+16,4.874578448160418e+16,5.940760493594708,5.010631457031921,3.9769408229587118
3e-10,6.012002905574846e-09,150.0,440.0,10978038606534.791,1.0978038606534792e+16,8288979310276320.0,1.366709790279326e+16,5707482385868188.0,1.6248594827201392e+16,4.119093266450733,3.4741778123490303,2.7574567570237143
