UTC,center,RA_model_deg,Dec_model_deg,RA_ext_deg,Dec_ext_deg,Delta_deg
2025-10-03 00:00,Earth,248.8286704305228,-18.63727574230571,215.75,-10.767222222222223,32.890887174552034
2025-10-03 00:00,Mars,207.79640823076997,-7.48316797678488,,,
2025-10-15 00:00,Earth,240.57974455880637,-17.337908055782073,209.16666666666666,-8.95611111111111,31.666759255191824
2025-10-15 00:00,Mars,198.4994371631532,-4.2870256233237765,,,
2025-10-30 00:00,Earth,226.59536324752142,-14.354559617878706,,,
2025-10-30 00:00,Mars,186.7490030065729,-0.06941027951337565,,,
